rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
825,Unbounded,1,exact,yes,174
826,Pangram Sans Rounded,1,not_yet_triaged,no,
827,Kis Antiqua,1,not_yet_triaged,no,
828,Academica,1,not_yet_triaged,no,
829,Kudryashev,1,not_yet_triaged,no,
830,Academy Pro,1,known_non_google_variant,no,
831,Petersburg Pro,1,known_non_google_variant,no,
832,Charter Pro,1,known_non_google_variant,no,
833,Kudryashev Text,1,not_yet_triaged,no,
834,Lazurski Pro,1,known_non_google_variant,no,
835,Kudryashev Pro,1,not_yet_triaged,no,
836,Kazuraki SP2N,1,not_yet_triaged,no,
837,Yu Mincho Pr6N,1,system_font_variant,no,
838,Neacademia,1,not_yet_triaged,no,
839,New Standard,1,not_yet_triaged,no,
840,21 Cent,1,not_yet_triaged,no,
841,Shuei Mincho,1,not_yet_triaged,no,
842,Kis Antiqua Now,1,not_yet_triaged,no,
843,Lyon Text Cyrillic,1,known_non_google,no,
844,Tiempos Text Cyrillic,1,known_non_google,no,
845,Guardian Text Egyptian,1,not_yet_triaged,no,
846,Frutiger Greek,1,known_non_google,no,
847,Involve,1,not_yet_triaged,no,
848,Paytone One,1,exact,yes,263
849,Coiny,1,exact,yes,834
850,"This is not a real typeface, but Whitman is",1,not_yet_triaged,no,
851,Gerbera,1,not_yet_triaged,no,
852,Basis Grotesque Cyrillic,1,not_yet_triaged,no,
853,Ruda,1,exact,yes,477
854,Steinbeck,1,not_yet_triaged,no,
855,Favorit Cyrillic,1,known_non_google,no,
856,Bandera,1,not_yet_triaged,no,
857,Iosevka Term,1,known_non_google_variant,no,
858,Univers Next Pro,1,known_non_google_variant,no,
859,Anybody,1,exact,yes,736
860,Schibsted Grotesk,1,exact,yes,86
861,Univers Next Pro Cyrillic Condensed,1,known_non_google_variant,no,
862,Wix Madefor Display,1,exact,yes,471
863,TypeBank TBUD Maru Gothic,1,not_yet_triaged,no,
864,LINE Seed Sans JP,1,not_yet_triaged,no,
865,Fontworks UD Marugo,1,not_yet_triaged,no,
866,FF Meta Pro,1,known_non_google_variant,no,
867,Copperplate Gothic,1,not_yet_triaged,no,
868,DejaVu Serif,1,not_yet_triaged,no,
869,Lucida Bright,1,not_yet_triaged,no,
870,Greta Mono,1,not_yet_triaged,no,
871,Fedra Mono,1,not_yet_triaged,no,
872,DejaVu Sans,1,not_yet_triaged,no,
873,Libertinus Sans,1,exact,yes,1269
874,Knockout No. 48 Bantamweight,1,known_non_google_variant,no,
875,Tungsten Compressed,1,known_non_google,no,
876,Druk Wide Heavy,1,known_non_google,no,
877,Dharma Gothic E Heavy,1,not_yet_triaged,no,
878,DIN Next Condensed Heavy,1,known_non_google,no,
879,Knockout No. 74 Sumatra,1,known_non_google_variant,no,
880,Acumin Pro ExtraCondensed UltraBlack,1,known_non_google_variant,no,
881,Tungsten Black,1,known_non_google,no,
882,Bureau Grot Extra Compressed,1,not_yet_triaged,no,
883,Action Condensed Black,1,not_yet_triaged,no,
884,Bureau Grot Compressed Black,1,not_yet_triaged,no,
885,Founders Grotesk X-Condensed Black,1,known_non_google_variant,no,
886,GT Pressura Condensed Black,1,known_non_google,no,
887,Univers Next Pro 930 Extra Black Condensed,1,known_non_google_variant,no,
888,Trade Gothic Next LT Pro Heavy Condensed,1,known_non_google_variant,no,
889,Mabry Pro,1,known_non_google_variant,no,
890,Druk Condensed,1,known_non_google,no,
891,Knockout No. 94 Ultimate Sumo,1,known_non_google_variant,no,
892,Action Condensed,1,not_yet_triaged,no,
893,PP Neue Machina Cyrillic,1,known_non_google,no,
894,TT Octosquares,1,not_yet_triaged,no,
895,Grtsk Cyrillic,1,not_yet_triaged,no,
896,TT Autonomous,1,not_yet_triaged,no,
897,Vast,1,not_yet_triaged,no,
898,Halvar,1,not_yet_triaged,no,
899,Univers 57 Condensed,1,known_non_google_variant,no,
900,Titillium Web,1,exact,yes,57
901,DIN 2014 Narrow,1,known_non_google,no,
902,Agency FB Bold,1,not_yet_triaged,no,
903,Purista Bold,1,not_yet_triaged,no,
904,FK Screamer,1,not_yet_triaged,no,
905,Akzidenz-Grotesk Next Condensed,1,known_non_google_variant,no,
906,Neue Haas Grotesk Text Condensed,1,known_non_google_variant,no,
907,Söhne Schmal,1,known_non_google_variant,no,
908,Avenir Next Greek,1,known_non_google,no,
909,Cera Round Pro,1,not_yet_triaged,no,
910,VAG Rounded Next,1,known_non_google_variant,no,
911,PF Bague Round Pro,1,not_yet_triaged,no,
912,FS Albert Pro,1,not_yet_triaged,no,
913,A-OTF Gothic MB101 Mono,1,known_non_google_variant,no,
914,Source Han Code JP,1,not_yet_triaged,no,
915,PlemolJP,1,not_yet_triaged,no,
916,M PLUS Code Latin,1,exact,yes,1883
917,Input Mono,1,not_yet_triaged,no,
918,Akkurat Mono,1,known_non_google_variant,no,
919,ABB Neue,1,not_yet_triaged,no,
920,GT Super,1,not_yet_triaged,no,
921,Reggae One,1,exact,yes,1222
922,Bradford,1,not_yet_triaged,no,
923,Everett,1,not_yet_triaged,no,
924,AG Book Pro Bold,1,not_yet_triaged,no,
925,DM Mono,1,exact,yes,141
926,Sarasa Gothic J,1,not_yet_triaged,no,
927,Commit Mono,1,not_yet_triaged,no,
928,Bank Gothic Bold,1,known_non_google,no,
929,Compacta Bold,1,known_non_google,no,
930,Banco Gothic Bold,1,not_yet_triaged,no,
931,Foundry Gridnik Bold,1,known_non_google,no,
932,Zen Antique,1,exact,yes,764
933,M,1,not_yet_triaged,no,
934,1p,1,not_yet_triaged,no,
935,FOT-Reggae One,1,not_yet_triaged,no,
936,Yuji Syuku,1,exact,yes,880
937,Syne,1,exact,yes,163
938,FF DIN Pro Condensed Black,1,known_non_google,no,
939,Druk Wide Super,1,known_non_google_variant,no,
940,Eurostile Next Heavy Extended,1,known_non_google_variant,no,
941,Helvetica Now Display Black,1,known_non_google_variant,no,
942,Tazugane Gothic Heavy,1,known_non_google,no,
943,A-OTF Gothic MB101 Pr6N U,1,known_non_google_variant,no,
944,Shorai Sans Heavy,1,known_non_google,no,
945,DDC Hardware,1,not_yet_triaged,no,
946,Tazugane Gothic StdN Heavy,1,known_non_google_variant,no,
947,Hiragino Kaku Gothic StdN W8,1,system_font_variant,no,
948,Shorai Sans StdN Heavy,1,known_non_google_variant,no,
949,DIN 2014 Condensed Black,1,known_non_google,no,
950,Migra,1,not_yet_triaged,no,
951,ABCMaxi,1,not_yet_triaged,no,
952,GT America Mono,1,known_non_google_variant,no,
953,Courier New,1,system_font,no,
954,Courier Prime,1,exact,yes,177
955,Minotaur,1,not_yet_triaged,no,
956,PF Marlet Display,1,not_yet_triaged,no,
957,Favorit Greek,1,known_non_google,no,
958,Karloff Negative,1,not_yet_triaged,no,
959,PF DIN Stencil Pro,1,not_yet_triaged,no,
960,Fira Sans Extra Condensed,1,exact,yes,391
961,Zona Pro,1,not_yet_triaged,no,
962,Kinto Sans,1,not_yet_triaged,no,
963,Greta Sans Greek,1,known_non_google,no,
964,Whyte Inktrap,1,not_yet_triaged,no,
965,Freight Sans,1,not_yet_triaged,no,
966,Macklin Text,1,not_yet_triaged,no,
967,Domaine Text,1,not_yet_triaged,no,
968,Feijoa,1,not_yet_triaged,no,
969,Noe Text,1,not_yet_triaged,no,
970,Financier Text,1,not_yet_triaged,no,
971,GT Super Text,1,not_yet_triaged,no,
972,Larken Text,1,not_yet_triaged,no,
973,Garnett,1,not_yet_triaged,no,
974,PF Beau Sans Pro,1,not_yet_triaged,no,
975,Panton,1,not_yet_triaged,no,
976,FS Joey,1,not_yet_triaged,no,
977,Skolar Sans Greek,1,known_non_google_variant,no,
978,DIN Next Paneuropean Condensed,1,known_non_google_variant,no,
979,DIN Next LT Pro Condensed PanEuropean,1,known_non_google_variant,no,
980,PF Bague Sans Pro,1,not_yet_triaged,no,
981,Sitka,1,not_yet_triaged,no,
982,PF Centro Serif,1,not_yet_triaged,no,
983,FF Meta Serif Condensed,1,known_non_google_variant,no,
984,Type Together Adelle,1,not_yet_triaged,no,
985,Baskerville 10 Pro,1,not_yet_triaged,no,
986,Times New Roman Condensed,1,system_font,no,
987,Chaparral Pro Condensed,1,not_yet_triaged,no,
988,Kepler Condensed,1,not_yet_triaged,no,
989,Murecho,1,exact,yes,531
990,RocknRoll One,1,exact,yes,712
991,Prata,1,exact,yes,264
992,Didona,1,not_yet_triaged,no,
993,Orchidea Pro,1,not_yet_triaged,no,
994,Georgia Pro Condensed,1,system_font_variant,no,
995,Skolar Sans Condensed,1,known_non_google_variant,no,
996,TT Ramillas,1,not_yet_triaged,no,
997,Austin Cyr,1,not_yet_triaged,no,
998,ParaType Didona,1,not_yet_triaged,no,
999,Linotype Didot,1,not_yet_triaged,no,
1000,Emigre Lo-Res,1,not_yet_triaged,no,
1001,Grotesk MWM,1,not_yet_triaged,no,
1002,Bluu Suuperstar,1,not_yet_triaged,no,
1003,Alte Haas Grotesk,1,not_yet_triaged,no,
1004,Pirata One,1,exact,yes,453
1005,Reforma,1,not_yet_triaged,no,
1006,Colvert,1,not_yet_triaged,no,
1007,Magma,1,not_yet_triaged,no,
1008,Atyp Display,1,not_yet_triaged,no,
1009,Fedra Serif A Greek,1,known_non_google_variant,no,
1010,Cinzel,1,exact,yes,118
1011,Eczar,1,exact,yes,317
1012,Averia Serif Libre,1,exact,yes,515
1013,Skolar Sans,1,known_non_google_variant,no,
1014,Morisawa UD Reimin,1,known_non_google,no,
1015,Source Han Serif Japanese,1,known_non_google_variant,no,
1016,A-OTF UD Reimin Pr6N,1,known_non_google_variant,no,
1017,Forma DJR,1,not_yet_triaged,no,
1018,Input Sans,1,known_non_google,no,
1019,Align,1,not_yet_triaged,no,
1020,FF Unit Slab,1,not_yet_triaged,no,
1021,Bitstream Charter,1,not_yet_triaged,no,
1022,Baltica,1,not_yet_triaged,no,
1023,ITC Officina Serif,1,not_yet_triaged,no,
1024,Tabular Figures version of Helvetica Neue,1,not_yet_triaged,no,
1025,Tabular Oldstyle,1,not_yet_triaged,no,
1026,Tabular Figures enabled in IBM Plex Sans,1,not_yet_triaged,no,
1027,Faune,1,not_yet_triaged,no,
1028,Sriracha,1,exact,yes,382
1029,Signika,1,exact,yes,242
