rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
373,Zen Kurenaido,3,exact,yes,801
374,Hina Mincho,3,exact,yes,776
375,Sawarabi Mincho,3,exact,yes,262
376,Shin Go,3,known_non_google,no,
377,Fedra Serif Pro,3,known_non_google_variant,no,
378,Heinemann,3,known_non_google,no,
379,Castledown,3,known_non_google,no,
380,Axis,3,known_non_google,no,
381,Amatic SC,3,exact,yes,224
382,Neue Frutiger,3,known_non_google,no,
383,Myriad Pro,3,known_non_google,no,
384,FiraGO,3,known_non_google,no,
385,Trade Gothic Bold Condensed,3,known_non_google,no,
386,Jost,3,exact,yes,48
387,Gothic MB101,3,known_non_google,no,
388,Hiragino Sans W9,3,system_font_variant,no,
389,UD Shin Go Heavy,3,known_non_google,no,
390,Morisawa Gothic MB101,3,known_non_google,no,
391,A-OTF UD Shin Maru Go Pr6N,3,known_non_google,no,
392,Publico,3,known_non_google,no,
393,Chronicle Text,3,known_non_google,no,
394,Grandstander,3,exact,yes,456
395,Tiempos,3,known_non_google,no,
396,Benton Sans,3,known_non_google,no,
397,UD Digi Kyokasho,3,known_non_google,no,
398,Utopia,3,known_non_google,no,
399,DNP Shuei Mincho,3,known_non_google,no,
400,DIN Next Greek,3,known_non_google,no,
401,Proto Grotesk,3,not_yet_triaged,no,
402,FF Tisa,3,known_non_google,no,
403,FF DIN Condensed Black,3,known_non_google,no,
404,Octava,3,known_non_google,no,
405,A-OTF Ryumin,3,known_non_google,no,
406,GFS Bodoni,3,known_non_google,no,
407,Minion 3 Variable,3,known_non_google,no,
408,Druk Condensed Super,3,known_non_google_variant,no,
409,Halvar Breitschrift,3,known_non_google,no,
410,Gosha Sans,3,known_non_google,no,
411,Bree,3,known_non_google,no,
412,MonoLisa,3,known_non_google,no,
413,Berkeley Mono,3,known_non_google,no,
414,DotGothic16,3,exact,yes,629
415,Zen Kaku Gothic Antique,3,exact,yes,439
416,OCR-B,3,known_non_google,no,
417,Maison Neue,3,known_non_google,no,
418,Roslindale Text,3,known_non_google,no,
419,Minion 3 Condensed,3,known_non_google,no,
420,Sawarabi Gothic,3,exact,yes,284
421,Cambria,3,system_font,no,
422,Adelle Cyrillic,3,known_non_google,no,
423,Suisse Int'l Mono,2,known_non_google,no,
424,Karla,2,exact,yes,61
425,Euclid Flex,2,known_non_google,no,
426,Neue Frutiger World,2,known_non_google,no,
427,Aeonik Pro,2,known_non_google,no,
428,Bandera Pro Bold,2,known_non_google,no,
429,Rubik Mono One,2,exact,yes,339
430,Druk Wide Cyrillic,2,known_non_google,no,
431,Atkinson Hyperlegible Next,2,exact,yes,423
432,Cascadia Mono,2,exact,yes,1525
433,DIN Next Condensed,2,known_non_google,no,
434,Univers Condensed,2,known_non_google,no,
435,DIN Next LT Pro Condensed,2,known_non_google,no,
436,Agrandir,2,known_non_google,no,
437,Suisse Int'l Condensed,2,known_non_google,no,
438,Univers Next Pro Condensed,2,known_non_google_variant,no,
439,GT Maru,2,known_non_google,no,
440,PF DIN Text Cond Pro,2,known_non_google_variant,no,
441,FiraGO Condensed,2,known_non_google,no,
442,Tabular,2,not_yet_triaged,no,
443,Akira Expanded,2,known_non_google,no,
444,Kozuka Gothic Pro Heavy,2,known_non_google,no,
445,FOT-Matisse Pro,2,known_non_google,no,
446,Tsukushi A Mincho,2,known_non_google,no,
447,Kurokane,2,known_non_google,no,
448,Junicode,2,not_yet_triaged,no,
449,Brioni,2,known_non_google,no,
